Fall 2026 (PWL) midterm examinations (CS)
Subject	Course	CRN	Section	Date	Time	Room
CS	15900			Thu 10/15	8:00p - 9:00p	BHEE 129, PHYS 112, FRNY G140
CS	15900			Tue 11/17	8:00p - 9:30p	WTHR 200, BHEE 129
CS	17600			Thu 10/22	8:00p - 10:00p	BHEE 129
CS	18200	13146	13146-LE1	Mon 10/19	8:00p - 9:30p	LILY 1105
CS	24000	51076	51076-LE1	Wed 10/14	8:00p - 10:00p	WALC 1055
CS	24000	51076	51076-LE1	Tue 11/10	8:00p - 10:00p	BHEE 170, ME 1061
CS	24300	31498	31498-AIB	Wed 10/21	8:00p - 10:00p	PHYS 112
CS	25100			Wed 09/09	8:00p - 9:00p	CL50 224, MATH 175
CS	25100			Wed 09/30	8:00p - 9:00p	WTHR 200, MATH 175
CS	25100			Thu 10/29	8:00p - 9:00p	CL50 224, MATH 175
CS	25100			Thu 11/19	8:00p - 9:00p	RHPH 172, ME 1061, RAWL 1086, ME 1130
CS	25200	64662	64662-LE1	Thu 10/22	8:00p - 10:00p	PHYS 114, PHYS 203
CS	30700	52675	52675-LE1	Thu 10/29	8:00p - 9:30p	LILY 1105
CS	31400	67279	67279-LE1	Thu 10/01	8:00p - 9:00p	BRNG 1278, MATH 175
CS	31400	67279	67279-LE1	Wed 11/11	8:00p - 9:00p	FRNY G140, RHPH 172
CS	33400	58534	58534-LE1*	Thu 10/08	8:00p - 10:00p	RAWL 1086
CS	34800	26857	26857-LE1	Tue 10/27	8:00p - 9:30p	UC 114
CS	34800	26857	26857-LE1	Wed 12/09	8:00p - 9:30p	UC 114
CS	35400	13241	13241-LE1	Tue 10/06	8:00p - 9:00p	PHYS 112
CS	37300			Thu 10/08	8:00p - 9:00p	UC 114, WTHR 172
CS	38100			Wed 10/21	8:00p - 10:00p	RHPH 172, BHEE 170, ARMS 1010
CS	42600	26875	26875-LE1	Wed 10/14	6:30p - 7:30p	RHPH 172
CS	44000	11987	11987-LE1	Wed 10/28	8:00p - 9:00p	DSAI B031, DSAI B033, DSAI B039, DSAI B069, DSAI B071
CS	47100			Thu 10/15	8:00p - 10:00p	LILY 1105
CS	47300	12510	12510-LE1	Wed 10/14	8:00p - 9:30p	LILY G126
CS	47300	12510	12510-LE1	Wed 11/18	8:00p - 9:30p	LILY G126
CS	50200	13216	13216-LE1	Wed 10/07	8:00p - 10:00p	GRIS 103
CS	50200	13216	13216-LE1	Thu 12/10	8:00p - 10:00p	WTHR 320
CS	52600	46101	46101-LE1	Tue 10/20	8:00p - 10:00p	ME 1061
CS	53500	10952	10952-LE1	Wed 10/07	8:00p - 10:00p	LILY 3118
