Fall 2026 (PWL) midterm examinations (MA)
Subject	Course	CRN	Section	Date	Time	Room
MA	13700			Mon 09/21	8:00p - 9:00p	PHYS 112
MA	13700			Wed 10/21	8:00p - 9:00p	WTHR 172, WTHR 104
MA	13700			Wed 11/18	8:00p - 9:00p	BHEE 170, BRNG 2280
MA	13800			Mon 09/21	8:00p - 9:00p	PHYS 112
MA	13800			Wed 10/21	8:00p - 9:00p	WTHR 172, WTHR 104
MA	13800			Wed 11/18	8:00p - 9:00p	BHEE 170, BRNG 2280
MA	13900			Mon 09/21	8:00p - 9:00p	PHYS 112
MA	13900			Wed 10/21	8:00p - 9:00p	WTHR 172, WTHR 104
MA	13900			Wed 11/18	8:00p - 9:00p	BHEE 170, BRNG 2280
MA	15800			Wed 09/16	8:00p - 9:00p	WTHR 200, WALC 1055
MA	15800			Mon 10/19	8:00p - 9:00p	STEW 183
MA	15800			Mon 11/16	8:00p - 9:00p	LILY 1105, UC 114
MA	16010			Wed 09/23	8:00p - 9:00p	STEW 183, WTHR 200, WTHR 104
MA	16010			Thu 10/15	8:00p - 9:00p	WTHR 200, CL50 224, WALC 1055, UC 114
MA	16010			Tue 11/10	8:00p - 9:00p	WTHR 200, CL50 224, LILY 1105, MATH 175
MA	16020			Mon 09/14	8:00p - 9:00p	LILY 1105
MA	16020			Mon 10/26	8:00p - 9:00p	LILY 1105
MA	16020			Mon 11/09	8:00p - 9:00p	LYNN 1136, RHPH 172
MA	16100			Wed 09/23	8:00p - 9:00p	LILY 1105, WALC 1055, MATH 175
MA	16100			Mon 10/19	8:00p - 9:00p	UC 114, PHYS 112, FRNY G140, BHEE 170
MA	16100			Wed 11/18	8:00p - 9:00p	PHYS 114, UC 114, SMTH 108, RHPH 172
MA	16200			Wed 09/23	8:00p - 9:00p	CL50 224, BHEE 129, BHEE 170, ME 1061
MA	16200			Tue 10/20	8:00p - 9:00p	STEW 183, CL50 224
MA	16200			Mon 11/09	8:00p - 9:00p	LILY 1105, WALC 1055, PHYS 112, MTHW 210
MA	16500			Wed 09/23	8:00p - 9:00p	PHYS 112, FRNY G140
MA	16500			Mon 10/19	8:00p - 9:00p	BHEE 129
MA	16500			Mon 11/09	8:00p - 9:00p	FRNY G140, ME 1061, ME 1130
MA	26100			Mon 10/05	8:00p - 9:00p	STEW 183, WTHR 200, BHEE 129, LILY 1105, WALC 1055, ME 1061, WTHR 172
MA	26100			Wed 11/18	8:00p - 9:00p	WTHR 200, CL50 224, BHEE 129, LILY 1105, WALC 1055, PHYS 112, FRNY G140, WTHR 104, ME 1130, MSEE B012
MA	26200			Tue 10/06	8:00p - 9:00p	UC 114
MA	26200			Wed 11/11	8:00p - 9:00p	UC 114
MA	26500			Tue 10/06	8:00p - 9:00p	STEW 183, WTHR 200
MA	26500			Wed 11/11	8:00p - 9:00p	WTHR 200, CL50 224, BHEE 129
MA	26600			Thu 10/08	8:00p - 9:00p	WTHR 200, CL50 224, LILY 1105, BRNG 2280
MA	26600			Tue 11/10	8:00p - 9:00p	STEW 183, UC 114, SMTH 108
MA	27101			Wed 09/23	8:00p - 9:00p	ARMS 1010
MA	27101			Wed 10/28	8:00p - 9:00p	ARMS 1010
MA	27101			Wed 12/09	8:00p - 9:00p	ARMS 1010
MA	30300	14113	14113-623	Tue 09/29	8:00p - 9:30p	RHPH 164
MA	30300	14113	14113-623	Thu 11/05	8:00p - 9:30p	RHPH 164
MA	30300	16727	16727-624	Tue 10/06	6:30p - 7:30p	ME 1061
MA	30300	16727	16727-624	Mon 11/09	6:30p - 7:30p	RHPH 172
MA	30300	26303	26303-755	Tue 10/06	6:30p - 7:30p	ME 1061
MA	30300	26303	26303-755	Mon 11/09	6:30p - 7:30p	RHPH 172
MA	30300	63224	63224-430	Mon 09/21	6:30p - 7:30p	GRIS 103
MA	30300	63224	63224-430	Wed 11/04	6:30p - 7:30p	PHYS 203
MA	34100	13253	13253-202	Thu 10/29	6:30p - 7:30p	RAWL 1086
MA	34100	13253	13253-202	Thu 12/10	8:00p - 9:00p	RAWL 1086
MA	34100	18202	18202-406	Tue 09/22	8:00p - 9:00p	RHPH 172
MA	34100	18202	18202-406	Wed 11/18	8:00p - 9:00p	FRNY G124, FRNY B124
MA	34100	25861	25861-408	Tue 09/22	8:00p - 9:00p	RHPH 172
MA	34100	25861	25861-408	Wed 11/18	8:00p - 9:00p	FRNY G124, FRNY B124
MA	34100	25862	25862-409	Mon 10/05	8:00p - 9:30p	KRAN G016
MA	34100	25862	25862-409	Mon 11/16	8:00p - 9:30p	KRAN G016
MA	34100	32506	32506-410	Mon 10/05	8:00p - 9:30p	KRAN G016
MA	34100	32506	32506-410	Mon 11/16	8:00p - 9:30p	KRAN G016
MA	34100	63079	63079-304	Thu 10/29	6:30p - 7:30p	RAWL 1086
MA	34100	63079	63079-304	Thu 12/10	8:00p - 9:00p	RAWL 1086
MA	35100	13038	13038-041	Tue 10/06	8:00p - 9:00p	MATH 175
MA	35100	13038	13038-041	Wed 11/11	8:00p - 9:00p	MATH 175
MA	35100	19439	19439-042	Tue 10/06	8:00p - 9:00p	MATH 175
MA	35100	19439	19439-042	Wed 11/11	8:00p - 9:00p	MATH 175
MA	35100	23344	23344-021	Tue 10/06	8:00p - 9:00p	RHPH 172
MA	35100	23344	23344-021	Mon 11/16	8:00p - 9:00p	LILY G126
MA	35100	23346	23346-011	Tue 10/06	8:00p - 9:00p	RHPH 172
MA	35100	23346	23346-011	Mon 11/16	8:00p - 9:00p	LILY G126
MA	35301	14245	14245-001	Tue 09/29	8:00p - 9:00p	BHEE 170
MA	35301	14245	14245-001	Thu 11/12	8:00p - 9:00p	BHEE 170
MA	35301	14246	14246-002	Tue 09/29	8:00p - 9:00p	BHEE 170
MA	35301	14246	14246-002	Thu 11/12	8:00p - 9:00p	BHEE 170
MA	36600	23353	23353-100	Tue 10/06	8:00p - 9:00p	LILY G126
MA	36600	23353	23353-100	Tue 11/10	8:00p - 9:00p	LILY G126
MA	36600	23354	23354-200	Tue 10/06	8:00p - 9:00p	LILY G126
MA	36600	23354	23354-200	Tue 11/10	8:00p - 9:00p	LILY G126
MA	36600	26169	26169-586	Tue 09/29	8:00p - 9:00p	LWSN B155
MA	36600	26169	26169-586	Thu 11/12	8:00p - 9:00p	LWSN B155
MA	37300	29860	29860-002	Wed 10/21	8:00p - 9:30p	ARMS B061
MA	45300	48941	48941-002	Wed 09/23	8:00p - 9:00p	RHPH 172
MA	45300	48941	48941-002	Wed 11/04	8:00p - 9:00p	BHEE 170
MA	45300	48942	48942-001	Wed 09/23	8:00p - 9:00p	RHPH 172
MA	45300	48942	48942-001	Wed 11/04	8:00p - 9:00p	BHEE 170
MA	46000	23371	23371-001	Wed 09/30	8:00p - 10:00p	RAWL 3058
MA	46000	23371	23371-001	Tue 11/10	8:00p - 10:00p	RAWL 3058
MA	47201	16502	16502-001*	Wed 10/28	8:00p - 9:00p	WTHR 104
MA	51100	27576	27576-006	Tue 09/22	8:00p - 9:00p	FRNY G140, PHYS 203
MA	51100	27576	27576-006	Tue 11/03	8:00p - 9:00p	PHYS 114
MA	51100DIST	20030	20030-004	Tue 09/22	8:00p - 9:00p	FRNY G140, PHYS 203
MA	51100DIST	20030	20030-004	Tue 11/03	8:00p - 9:00p	PHYS 114
MA	52300	38485	38485-001	Wed 09/30	8:00p - 9:30p	ABE B061
MA	52300	38485	38485-001	Wed 11/04	8:00p - 9:30p	ABE B061
MA	52700	11959	11959-WNG	Wed 09/30	6:30p - 7:30p	UC 114
MA	52700	11959	11959-WNG	Wed 11/11	6:30p - 7:30p	UC 114
MA	52700DIST	12919	12919-ONC	Wed 09/30	6:30p - 7:30p	UC 114
MA	52700DIST	12919	12919-ONC	Wed 11/11	6:30p - 7:30p	UC 114
MA	53200	53971	53971-002*	Tue 10/20	8:00p - 10:00p	HAAS G056
MA	54400	54847	54847-003	Thu 10/22	8:00p - 10:00p	RAWL 2082
