Fall 2026 (PWL) midterm examinations (STAT)
Subject	Course	CRN	Section	Date	Time	Room
STAT	11300			Thu 09/24	8:00p - 9:00p	RHPH 172, ME 1061, RHPH 164
STAT	11300			Thu 11/05	8:00p - 9:00p	FRNY G140, RHPH 172
STAT	11300DIST	[Dist]	[Dist]	Thu 09/24	8:00p - 9:00p	RHPH 172, ME 1061, RHPH 164
STAT	11300DIST	[Dist]	[Dist]	Thu 11/05	8:00p - 9:00p	FRNY G140, RHPH 172
STAT	30301			Mon 09/28	6:30p - 7:30p	BHEE 129, FRNY G140
STAT	30301			Mon 11/16	8:00p - 9:00p	PHYS 112, MTHW 210, MATH 175
STAT	30301DIST	[1]	[1]	Mon 09/28	6:30p - 7:30p	BHEE 129, FRNY G140
STAT	30301DIST	[1]	[1]	Mon 11/16	8:00p - 9:00p	PHYS 112, MTHW 210, MATH 175
STAT	35000			Wed 10/07	8:00p - 9:00p	WALC 1055, FRNY G140
STAT	35000			Tue 11/17	8:00p - 9:00p	LILY 1105, LILY G126
